"nois_30","In the past 7 days, did your stomach make noises?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"gas7_30","In the past 7 days, did you pass gas?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"samllgas_30","In the past 7 days, when you passed gas did it smell very","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"nauseas_30","In the past 7 days, did you feel sick (but didn't actually","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"appetitedown_30","In the past 7 days, did you have a lack of appetite?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"watpoo_30","","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"rushtoil_30","In the past 7 days, did you feel the need to rush to the","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"lightorangepoo_30","In the past 7 days, did your poo look lighter or orange in","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"poosmell_30","In the past 7 days, when you had a poo did it smell very","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"poofat_30","In the past 7 days, did you see or have fat or oil in your","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"urgencytoilet_30","In the past 7 days, did you feel you needed to be close to","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"fatfoodavoid_30","","1, No not at all | 2, Yes a little of the time | 3, Yes sometimes | 4, Yes most of the time | 5, Yes all of the time"
